suburb,state,lga
ALBION,VIC,BRIMBANK (CITY)
ALBION PARK,NSW,SHELLHARBOUR (CITY)
ALBION PARK RAIL,NSW,SHELLHARBOUR (CITY)
ALBURY,NSW,ALBURY (CITY)
ALCOMIE,TAS,CIRCULAR HEAD (MUNICIPALITY)
ALDAVILLA,NSW,KEMPSEY (AREA)
ALDERLEY,QLD,BRISBANE (CITY)
ALDERSHOT,QLD,FRASER COAST (REGIONAL COUNCIL)
ALDERSYDE,WA,BROOKTON (SHIRE)
ALDGATE,SA,ADELAIDE HILLS (DISTRICT COUNCIL)
ALDINGA,SA,ONKAPARINGA (CITY)
ALDINGA BEACH,SA,ONKAPARINGA (CITY)
ALDOGA,QLD,GLADSTONE (REGIONAL COUNCIL)
ALECTOWN,NSW,PARKES (AREA)
ALEXANDER HEIGHTS,WA,WANNEROO (CITY)
ALEXANDRA,QLD,MACKAY (REGIONAL COUNCIL)
ALEXANDRA,VIC,MURRINDINDI (SHIRE)
ALEXANDRA BRIDGE,WA,AUGUSTA-MARGARET RIVER (SHIRE)
ALEXANDRA HEADLAND,QLD,SUNSHINE COAST (REGIONAL COUNCIL)
ALEXANDRA HILLS,QLD,REDLAND (CITY)
ALEXANDRIA,NSW,SYDNEY (CITY)
ALFORD,SA,BARUNGA WEST (DISTRICT COUNCIL)
ALFORDS POINT,NSW,SUTHERLAND SHIRE (AREA)
ALFRED COVE,WA,MELVILLE (CITY)
ALFREDTON,VIC,BALLARAT (CITY)
ALFREDTOWN,NSW,WAGGA WAGGA (CITY)
ALGESTER,QLD,BRISBANE (CITY)
ALI CURUNG,NT,BARKLY (REGIONAL COUNCIL)
ALICE,NSW,CLARENCE VALLEY (AREA)
ALICE CREEK,QLD,SOUTH BURNETT (REGIONAL COUNCIL)
ALICE RIVER,QLD,TOWNSVILLE (CITY)
ALICE SPRINGS,NT,ALICE SPRINGS (TOWN)
ALISON,NSW,CENTRAL COAST (CITY)
ALKIMOS,WA,WANNEROO (CITY)
ALLAMBEE,VIC,BAW BAW (SHIRE)
ALLAMBEE RESERVE,VIC,BAW BAW (SHIRE)
ALLAMBEE SOUTH,VIC,SOUTH GIPPSLAND (SHIRE)
ALLAMBIE HEIGHTS,NSW,NORTHERN BEACHES (AREA)
ALLAN,QLD,SOUTHERN DOWNS (REGIONAL COUNCIL)
ALLANDALE,NSW,CESSNOCK (CITY)
ALLANDALE,QLD,SCENIC RIM (REGIONAL COUNCIL)
ALLANOOKA,WA,IRWIN (SHIRE)
ALLANS FLAT,VIC,INDIGO (SHIRE)
ALLANSFORD,VIC,MOYNE (SHIRE)
ALLANSON,WA,COLLIE (SHIRE)
ALLAWAH,NSW,GEORGES RIVER (AREA)
ALLEENA,NSW,BLAND (AREA)
ALLENBY GARDENS,SA,CHARLES STURT (CITY)
ALLENDALE,VIC,HEPBURN (SHIRE)
ALLENDALE EAST,SA,GRANT (DISTRICT COUNCIL)
ALLENDALE NORTH,SA,LIGHT (REGIONAL COUNCIL)
ALLENS RIVULET,TAS,KINGBOROUGH (MUNICIPALITY)
ALLENSTOWN,QLD,ROCKHAMPTON (REGIONAL COUNCIL)
ALLENVIEW,QLD,SCENIC RIM (REGIONAL COUNCIL)
ALLESTREE,VIC,GLENELG (SHIRE)
ALLGOMERA,NSW,NAMBUCCA (AREA)
ALLIGATOR CREEK,QLD,TOWNSVILLE (CITY)
ALLORA,QLD,SOUTHERN DOWNS (REGIONAL COUNCIL)
ALLOWAY,QLD,BUNDABERG (REGIONAL COUNCIL)
ALLWORTH,NSW,MID-COAST (AREA)
ALLYNBROOK,NSW,DUNGOG (AREA)
ALMA,SA,CLARE AND GILBERT VALLEYS (DISTRICT COUNCIL)
ALMA,VIC,CENTRAL GOLDFIELDS (SHIRE)
ALMA,WA,NORTHAMPTON (SHIRE)
ALMA PARK,NSW,GREATER HUME SHIRE (AREA)
